Keyword	Category	Priority	Active	Synonyms
RED III	Biomass & Bioenergy	High	Yes	Renewable Energy Directive
Biomass Carbon Neutrality	Biomass & Bioenergy	Medium	Yes	Biomass Neutral
Biochar	Biomass & Bioenergy	Medium	Yes	Bio Char
Bio-CCS	Biomass & Bioenergy	Medium	Yes	Bioenergy CCS
Nature Based Solutions	Biodiversity	High	Yes	NBS, Nature-based
Biodiversity	Biodiversity	High	Yes	Biological Diversity
Nature Loss	Biodiversity	High	Yes	Biodiversity Loss
TNFD	Biodiversity	High	Yes	Taskforce Nature-related Financial Disclosures
SBTN	Biodiversity	High	Yes	Science Based Targets Network
Ecosystem Services	Biodiversity	Medium	Yes	Natural Capital
Biodiversity Credits	Biodiversity	High	Yes	Nature Credits
Nature Finance	Biodiversity	High	Yes	Biodiversity Finance
Deforestation	Biodiversity	High	Yes	Forest Loss
EUDR	Biodiversity	High	Yes	EU Deforestation Regulation
Biodiversity Net Gain	Biodiversity	High	Yes	BNG
Kunming Montreal	Biodiversity	High	Yes	COP15, GBF
Wildlife	Biodiversity	Low	Yes	Wildlife Conservation
Wetlands	Biodiversity	Medium	Yes	Wetland Conservation
Forest Carbon	Carbon Markets	High	Yes	REDD+, Forest Credits
Water Stewardship	Water Stewardship	High	Yes	Water Management
Water Risk	Water Stewardship	High	Yes	Water Stress
Water Stress	Water Stewardship	High	Yes	Water Scarcity
Water Footprint	Water Stewardship	Medium	Yes	Water Usage
Water Credits	Water Stewardship	Medium	Yes	Water Offset
Watershed	Water Stewardship	Medium	Yes	River Basin
Water Disclosure	Water Stewardship	Medium	Yes	Water Reporting
CDP Water	Water Stewardship	High	Yes	CDP Water Security
Water Security	Water Stewardship	High	Yes	Water Access
Groundwater	Water Stewardship	Medium	Yes	Aquifer
Water Recycling	Water Stewardship	Medium	Yes	Water Reuse
Blue Carbon	Water Stewardship	Medium	Yes	Coastal Carbon
Ocean Carbon	Water Stewardship	Medium	Yes	Marine Carbon
GeM	Tenders	High	Yes	Government e-Marketplace
CPPP	Tenders	High	Yes	Common Procurement Portal
Tender	Tenders	High	Yes	Tenders, Bid
